Account ACCT
Customer CST
Acct Acct
Repricing RPRC
Pegging PEG
Interest ITST
Sol Sol
GL GL
Schm Schm
suspen suspen
Sanction SCTN
Ledger Ledger
Sector Sector
Sub Sub
Purpose PURP
Nature Nature
Free Free
Limit Limit
Loan Loan
Operative OTV
Demand Demand
Lien Lien
Repayment RPMT
Penal Penal
Principal PPL
Transfer XFR
Cumulative CUTV
Liab Liab
Disbursement DISB
Debit Debit
Past Past
Prv Prv
Charge Charge
source source
Disburse DISB
Apply Apply
Late Late
Instalment ITMT
Num Num
Upfront UPFRT
Sum Sum
Payoff Payoff
Exclude EXCL
Statement STMT
Bank Bank
Value Value
Occupation OCCP
Borrower BRRWR
Mode Mode
Type Type
guarantee GUAR
Industry INDSTR
credit credit
DICGE DICGE
Last Last
Daily Daily
Calculate CALC
EI EI
IRR IRR
Advance ADV
Amortised AMRT
Accrual ACCRL
Interset ITST
Final Final
Auto Auto
total total
number number
End End
Deferred DFRD
Def Def
Reshedule RSCHD
Pay Pay
Related RLTD
Refinance REFNC
Subsidy SUBS
Preprocess PRPRCS
Activity ACTVT
Probation PROB
Compound CMPND
Discounted DSCNT
Collect COLLCT
Despatch DESP
Week Week
Start Start
Next Next
Fixed Fixed
Minimum MIN
Maximum MAX
Product PRDT
Linked Linked
Delinquency DLNQ
Non Non
Floating FLOAT
Single Single
Iban Iban
IAS IAS
TopUp TopUp
Negotiated NGTN
Normal Normal
hldy_prd_frm_first_disb_flg NEGTD
Holiday HOL
Rescheduling RSCHD
Capitalize CAPTLZD
Carry Carry
Cap Cap
Month Month
Channel CHNL
Notice Notice
Shift Shift
Include INCL
Recall Recall
Different DIFF
RA RA
Address ADDR
Accrued ACCRD
Collection COLL
Mark Mark
Preferred PRFRD
Purchase PURCH
Grace Grace
Assumption ASSMPT
Conversion CONV
Min. Min.
Min Min
Recast Recast
Payment PMT
Negative NEG
Capitalized CPTLZD
No No
Accounting ACCTNG
Association ASSOC
Enrolled ENRLD
Enrollment ENRLMT
Max. Max.
Pending PNDNG
Consolidated CNSLDT
Insured INSRD
Insurance INSURE
Spread Spread
InterPolation INRPLTN
Non-accrual NONACCRL
Promotional PRMNL
Promotional PRMNL
Expected EXPCTD
BB BB
Inter Inter
BIC BIC
Paysys Paysys
Responding RSPND
Bankruptcy BNKRTPCY
Probate PRBTE
Disability DSBLTY
Relief Relief
Reason Reason
Course Course
School School
Certification CERT
Rule Rule
No.of No.of
Broken Broken
Asset Asset
Lease Lease
Adjust Adjust
Agreed Agreed
Residual RSDL
Guaranteed GUAR
Rent Rent
Security SCRTY
Cheque Cheque
Cheques CHQ
Bill Bill
Offset Offset
Credit  CR
Debit  Debit 
Id  Id 
Plan Plan
Frequency  FREQ
Route  Route 
Currency  CUR
Id Id
Sub  Sub 
Code Code
Open  Open 
Sector  SEC
of  of 
Code  Code 
Reference  REF
Limit  Limit 
Level  Level 
Expiry  EXPRY
Authority  AUTH
Paper  Paper 
Acct  Acct 
Sol  Sol 
Satisfy  STSFY
on  on 
table  table 
interest  INTRST
Demand  DMD
Effective  EFFCT
normal  NRML
penal  penal 
additional  ADDTNL
as  as 
in  in 
Shedule  SCHD
Period  PRD
Due  Due 
To  To 
Suspense  SUSP
Off  Off 
dealer  DLR
late  late 
Fee  Fee 
amount  AMT
Instalment  INSTL
Past  Past 
Flag Flag
for  for 
Cif  Cif 
Cycle  Cycle 
IRR  IRR 
category  CTGRY
coverage  CVRG
Location  LOC
report  RPT
Compound  CMPND
Overdue  OVD
paying  PYING
Rate Rate
Amount Amount
Booked  BKD
Rate  Rate 
Disbursement  DISB
Reshedule  RSCHD
number  NUM
Date Date
applicable  APPCBL
Deposit  DEP
Acknowledgement  ACK
Sanction  SANC
Agency Agency
Claimed  CLMD
Activity  ACTVT
Received  RECD
Fee Fee
Rest  Rest 
Int  Int 
Manager MNGR
Day  Day 
Print  Print 
Income  INC
Group Group
Text Text
Account  ACCT
Reschedule  RSCHD
Starter  STRTR
Repricing  REPRC
EMI  EMI 
CLASSIFICATION  CLSFCT
Scheme  SCHM
Method Method
Formula  FRML
Holiday  HOL
by  by 
Int.  Int. 
over  over 
ofInstalment  INSTL
